busplaName,cntctNo,compAddr,empType,enterType,envBothHands,envEyesight,envLstnTalk,jobNm,offerregDt,regDt,regagnName,reqCareer,reqEduc,rno,rnum,salary,salaryType,termDate,envHandWork,envLiftPower,envStndWalk,reqMajor,reqLicens
한국전력공사 전북본부,1588-1519,전라북도 전주시 덕진구 백제대로 741 (인후동2가),계약직,무관,,,,사무 보조원(공공기관),20260413,20260413,한국장애인고용공단 전북지사,0년개월,무관,48,48,"82,560",일급,2026-04-13~2026-04-27,,,,,
한국전력공사 전북본부,1588-1519,전라북도 전주시 덕진구 백제대로 741 (인후동2가),계약직,무관,,,,사무 보조원(공공기관),20260413,20260413,한국장애인고용공단 전북지사,0년개월,무관,49,49,"2,156,880",월급,2026-04-13~2026-04-27,,,,,
한국전력공사 전북본부,1588-1519,전라북도 전주시 덕진구 백제대로 741 (인후동2가),계약직,무관,,,,사무 보조원(공공기관),20260413,20260413,한국장애인고용공단 전북지사,0년개월,무관,50,50,"2,156,880",월급,2026-04-13~2026-04-27,,,,,
한국전력공사 전북본부,1588-1519,전라북도 전주시 덕진구 백제대로 741 (인후동2가),계약직,무관,,,,사무 보조원(공공기관),20260413,20260413,한국장애인고용공단 전북지사,0년개월,무관,51,51,"2,156,880",월급,2026-04-13~2026-04-27,,,,,
(주)LH이앤에스,1588-1519,"경상남도 진주시 에나로 142  (충무공동, 솔레어빌딩)",상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,간단한 듣고 말하기 가능,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260413,20260413,한국장애인고용공단 경남서부지사,무관,무관,52,52,"2,500,000",월급,2026-04-13~2026-04-23,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
(주)LH이앤에스,1588-1519,"경상남도 진주시 에나로 142  (충무공동, 솔레어빌딩)",상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,간단한 듣고 말하기 가능,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260413,20260413,한국장애인고용공단 경남서부지사,무관,무관,53,53,"2,500,000",월급,2026-04-13~2026-04-23,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
(주)LH이앤에스,1588-1519,"경상남도 진주시 에나로 142  (충무공동, 솔레어빌딩)",상용직,무관,양손작업 가능,비교적 큰 인쇄물을 읽을 수 있음,간단한 듣고 말하기 가능,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260413,20260413,한국장애인고용공단 경남서부지사,무관,무관,54,54,"2,500,000",월급,2026-04-13~2026-04-23,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
유한회사대일산업,1588-1519,전라남도 영암군 삼호읍 대불로 93  (현대삼호중공업),상용직,무관,,,,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260413,20260413,한국장애인고용공단 전남지사,무관,무관,55,55,"10,320",시급,2026-04-13~2026-04-30,,,,,
(주)삼원에스컴,1588-1519,대구광역시 수성구 무열로 95 (만촌동) 2층,계약직,경력,,,,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260413,20260420,한국장애인고용공단 경북지사,1년0개월,무관,56,56,"10,320",시급,2026-04-13~2026-04-30,,,,,
쿠팡풀필먼트서비스 유한회사(Coupang Fulfillment Services Ltd,1588-1519,서울특별시 송파구 법원로11길 12 8층 (문정동),계약직,무관,,아주 작은 글씨를 읽을 수 있음,듣고 말하기에 어려움 없음,인사 사무원,20260413,20260422,한국장애인고용공단 부산직업능력개발원,무관,무관,57,57,"1,080,000",월급,2026-04-13~2026-04-26,,,일부 서서하는 작업 가능,,
룰루레몬애틀라티카코리아 유한회사,1588-1519,서울특별시 강남구 봉은사로 468 11층(삼성동),상용직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,의류 판매원,20260413,20260421,한국장애인고용공단 서울지역본부,0년0개월,무관,58,58,"32,000,000",연봉,2026-04-13~2026-05-31,작은 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,,
디엘이앤씨 주식회사,1588-1519,서울특별시 종로구 통일로 134 돈의문 디타워 (평동),계약직,무관,,일상적 활동 가능,간단한 듣고 말하기 가능,CCTV 관제원(모니터링요원),20260413,20260413,한국장애인고용공단 서울남부지사,무관,무관,59,59,"1,500,000",월급,2026-04-13~2026-04-26,,5Kg 이내의 물건을 다룰 수 있음,오랫동안 가능,,
한국맥도날드(유),1588-1519,"서울특별시 종로구 종로 51 한국맥도날드 유한회사 (종로2가, 종로타워)",상용직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,매장 정리원(매장 보조원),20260413,20260413,한국장애인고용공단 부산지역본부,무관,무관,60,60,"10,320",시급,2026-04-13~2026-07-12,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,오랫동안 가능,,
한국수자원공사평화의댐지사,1588-1519,강원도 화천군 화천읍 평화로 3481-18 한국수자원공사 평화의댐지사,계약직,무관,,,,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260413,20260414,한국장애인고용공단 광주지역본부,무관,무관,61,61,"10,320",시급,2026-04-13~2026-04-27,,,,,
주식회사 티더블유,1588-1519,경기도 평택시 서탄면 서탄2로 176-25 티더블유,계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하는 작업 어려움,기계·금속 분야 단순 종사원,20260413,20260413,한국장애인고용공단 경기지역본부,무관,무관,62,62,"26,500,000",연봉,2026-04-13~2026-07-12,작은 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,서거나 걷는 일 어려움,,
주식회사 하늘산업,1588-1519,충청북도 제천시 청풍호로11안길 44-7  (명지동),상용직,무관,,,,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",20260413,20260413,한국장애인고용공단 충북지사,무관,무관,63,63,"10,320",시급,2026-04-13~2026-05-31,,,,,
한국전력공사 전북본부,1588-1519,전라북도 전주시 덕진구 백제대로 741 (인후동2가),계약직,무관,,,,사무 보조원(공공기관),20260413,20260413,한국장애인고용공단 전북지사,0년개월,무관,64,64,"82,560",일급,2026-04-13~2026-04-27,,,,,
한국전력공사 전북본부,1588-1519,전라북도 전주시 덕진구 백제대로 741 (인후동2가),계약직,무관,,,,사무 보조원(공공기관),20260413,20260413,한국장애인고용공단 전북지사,0년개월,무관,65,65,"82,560",일급,2026-04-13~2026-04-27,,,,,
한국전력공사 전북본부,1588-1519,전라북도 전주시 덕진구 백제대로 741 (인후동2가),계약직,무관,,,,사무 보조원(공공기관),20260413,20260413,한국장애인고용공단 전북지사,0년개월,무관,66,66,"82,560",일급,2026-04-13~2026-04-27,,,,,
한국전력공사 전북본부,1588-1519,전라북도 전주시 덕진구 백제대로 741 (인후동2가),계약직,무관,,,,사무 보조원(공공기관),20260413,20260413,한국장애인고용공단 전북지사,0년개월,무관,67,67,"82,560",일급,2026-04-13~2026-04-27,,,,,
해성디에스(주),1588-1519,경상남도 창원시 성산구 웅남로 726 해성디에스 (성주동),계약직,무관,양손작업 가능,일상적 활동 가능,간단한 듣고 말하기 가능,기타 전자 부품·제품 조립·검사원,20260410,20260410,한국장애인고용공단 경남동부지사,무관,무관,68,68,"2,700,000",월급,2026-04-10~2026-07-09,작은 물품 조립가능,5~20Kg의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
(주)케이티씨에스,1588-1519,서울특별시 영등포구 문래로 83 (문래동3가) 아라비즈타워 6층,계약직,무관,,,,사무 보조원(일반사업체),20260410,20260410,한국장애인고용공단 서울남부지사,무관,무관,69,69,"1,160,596",월급,2026-04-10~2026-04-30,,,,,
더희망찬병원,1588-1519,부산광역시 금정구 부곡로 130 더희망찬병원 (부곡동),상용직,무관,,,,환자케어 보조원(환자이동 도우미 등),20260410,20260421,한국장애인고용공단 부산지역본부,0년0개월,무관,70,70,"11,000",시급,2026-04-10~2026-05-31,,,,,
(의)한마음의료재단 하나병원,1588-1519,충청북도 청주시 흥덕구 2순환로 1262 (가경동),계약직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,병동 보조원,20260410,20260410,한국장애인고용공단 충북지사,무관,무관,71,71,"1,083,600",월급,2026-04-10~2026-05-30,큰 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,일부 서서하는 작업 가능,,
한국조폐공사,1588-1519,대전광역시 유성구 과학로 80-67 (가정동),계약직,무관,,,,사무 보조원(공공기관),20260410,20260410,한국장애인고용공단 대전지역본부,0년개월,무관,72,72,"2,177,000",월급,2026-04-10~2026-04-23,,,,,
의료법인토마스의료재단(윌스기념병원),1588-1519,경기도 수원시 팔달구 경수대로 437  (인계동),계약직,무관,,아주 작은 글씨를 읽을 수 있음,듣고 말하기에 어려움 없음,병원 안내원 및 병원고객 도우미,20260410,20260413,한국장애인고용공단 경기지역본부,무관,무관,73,73,"10,320",시급,2026-04-10~2026-06-30,,,서거나 걷는 일 어려움,,
한와담 버치힐CC점,1588-1519,강원특별자치도 평창군 대관령면 올림픽로 715 버치힐컨트리클럽(용평리조트),계약직,무관,,,,주방 보조원(일반 음식점),20260410,20260410,한국장애인고용공단 강원지사,0년0개월,무관,74,74,"10,320",시급,2026-04-10~2026-05-31,,,,,
더희망찬병원,1588-1519,부산광역시 금정구 부곡로 130 더희망찬병원 (부곡동),상용직,무관,,,,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260410,20260421,한국장애인고용공단 부산지역본부,0년0개월,무관,75,75,"11,000",시급,2026-04-10~2026-05-30,,,,,
의료법인순천의료재단,1588-1519,경기도 성남시 수정구 수정로 76 10-12층,상용직,무관,양손작업 가능,일상적 활동 가능,듣고 말하기에 어려움 없음,요양보호사(노인요양사),20260409,20260409,한국장애인고용공단 경기동부지사,무관,무관,76,76,"2,200,000",월급,2026-04-09~2026-05-08,큰 물품 조립가능,5Kg 이내의 물건을 다룰 수 있음,서거나 걷는 일 어려움,,
주식회사위드엠,1588-1519,"경기도 용인시 수지구 광교중앙로296번길 10  (상현동, 광교 리치안 오피스텔)",계약직,무관,,,,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",20260409,20260409,한국장애인고용공단 경기동부지사,무관,무관,77,77,"10,320",시급,2026-04-09~2026-04-30,,,,,
용인시육아종합지원센터,1588-1519,경기도 용인시 처인구 중부대로1161번길 90 용인시육아종합지원센터  (삼가동),계약직,무관,,,,대여 생활용품 세척원(다회용기 세척원),20260409,20260409,한국장애인고용공단 경기동부지사,0년0개월,무관,78,78,"10,320",시급,2026-04-09~2026-05-08,,,,,
의료법인인산의료재단,1588-1519,전북특별자치도 전주시 완산구 기린대로 227 자인플러스병원 (서노송동),계약직,무관,,,,콜센터 상담원(콜센터·고객센터·CS센터),20260409,20260409,한국장애인고용공단 전북지사,무관,무관,79,79,"2,156,880",월급,2026-04-09~2026-04-30,,,,,
