orgNm,pgmNm,pgmSubNm,pgmTarget,pgmStdt,pgmEndt,openTimeClcd,openTime,operationTime,openPlcCont
광주고용센터,취업특강,취업에 성공하는 면접요령- 재취업자,"일반구직자 및 국민취업지원제도 참여자, 실업급여 수급자 등",20260422,20260422,2,01:30,2,광주고용복지+센터 9층 취업특강실
해남고용센터,취업특강,슬기로운 직장생활을 위한 비즈니스매너,"실업급여 및 국민취업지원제 수급자, 일반구직자 등",20260422,20260422,2,02:00,2,해남고용센터 3층 프로그램실
광양고용센터,취업특강,직업과 안전,"실업급여 수급자, 국민취업지원제도 참여자, 일반 구직자 등",20260422,20260422,2,02:00,2,광양고용센터 9층 교육장
울산고용센터,단기집단상담프로그램,(신중년) 잘 살아온 내 인생 앞으로는,신중년(50세이상) 구직자,20260422,20260422,1,09:00,3,울산고용센터 7층 프로그램 2실
강북성북고용센터,단기집단상담프로그램,중장년 취업시장 뽀개기,,20260422,20260422,2,01:00,4,강북성북고용센터 6층 세미나실
진주고용센터,[청년취업GYM] 청년층 취업역량강화 모듈,커리어 스토리 탐색 및 이력서+자소서+면접 기술 향상,10대 후반~34세 이하 청년,20260422,20260423,1,09:30,12,진주고용센터 5층 CAP실
서울북부고용센터,[청년취업GYM] 청년층 취업역량강화 모듈,"청년들의 취업동기 함양, 경력탐색, 구직기술 향상",(~34세 이하) 진로미결정자 청년층,20260422,20260423,1,09:30,12,서울북부고용센터 9층 프로그램 2실
성남고용센터,[청년취업GYM] 청년층 취업역량강화 모듈,[진로결정 된 청년층] 구직기술 강화프로그램,10~23대 초반 청년층,20260422,20260423,1,09:30,12,성남고용센터 별관 4층 성취룸
부산북부고용센터,취업특강,스트레스 예방(10:00),취업을 희망하는 모든 구직자,20260422,20260422,1,10:00,2,부산북부고용센터(화명동) 4층 키움방
인천고용센터,취업특강,항공 MRO 산업의 이해,항공 MRO분야에 관심 있는 구직자 (~40대 까지),20260423,20260423,2,03:00,2,인천고용센터 별관 2층 취업특강실 /인천시 남동구 문화로 119-1 승산빌딩 2층
대전고용센터,기타(인별),"이력서, 자기소개서, 면접 등 구직기술 1:1 컨설팅 등",만 15세~만 34세 구직 청년,20260423,20260423,2,02:00,1,대전고용복지플러스센터 4층 스터디룸
서울관악고용센터,취업특강,중장년 맞춤 대인관계 전략 일자리 수요데이 in 서울관악,(만40세이상) 구직자,20260423,20260423,1,10:00,2,서울관악고용복지+센터 2층 프로그램1실
이천고용센터,취업특강,재취업자를 위한 구직서류 작성법,구직자 등,20260423,20260423,2,02:00,2,이천고용센터 3층 교육장
통영고용센터,취업특강,중장년 맞춤 면접 준비,［연령제한: 만 40세 이상］실업급여 수급자/국민취업지원제도 참여자/재직자/구직자 등 통영·고성·거제 거주자,20260423,20260423,1,09:30,2,통영고용센터 2층 교육장
부산고용센터,취업특강,(청년층) 기본적 분석 주식투자 방법,청년층(~만 34세 이하),20260423,20260423,2,02:00,2,부산센터 4층 4프로그램실
목포고용센터,취업특강,신용채무관리,"실업급여 수급자, 국민취업지원제도 참여자, 일반구직자 등",20260423,20260423,2,02:00,2,목포고용센터 별관2층 도약실
파주고용센터,취업특강,성공취업을 위한 필수 전략,,20260423,20260423,1,09:30,2,파주고용복지플러스센터 2층 설명회장
수원고용센터,취업특강,재쥐업자를 위한 구직서류 작성,"일반구직자, 실업급여수급자 및 취업성공패키지, 국민취업지원제도 참여자 등",20260423,20260423,2,02:00,2,수원고용센터 별관 2층 단기프로그램실
김해고용센터,취업특강,(전연령)성공하는 대화법,,20260423,20260423,1,10:00,2,김해고용센터 6층 취업특강실
대구서부고용센터,취업특강,구직자를 위한 마음건강 챙기기,,20260423,20260423,1,10:00,2,대구서부고용복지플러스센터 8층 대회의실
대전고용센터,취업특강,경제적 자유로 가는 금융생활복지,,20260423,20260423,1,09:30,2,대전고용복지플러스센터 5층 단기특강실
광주고용센터,취업특강,(청년층 대상) AI 이제는 선택이 아닌 필수!,"(청년층)일반구직자 및 국민취업지원제도 참여자, 실업급여 수급자 등",20260423,20260423,2,01:30,2,광주고용복지+센터 9층 취업특강실
