jobCd,jobCdLevel,jobCdNm,rnum,jobTask,noticeCn,simlrJob,sprdOckclsYn,jobdevtipCn
15910100,5,건축 제도사(캐드원),2293,·  건물 공사용 시공도 및 상세 설계서를 소프트웨어 등을 활용하여 작성하거나 수정하는 업무를 수행한다.,·  한국장애인고용공단의 직무개발사업(선도기업 전략직종 직무개발사업)을 통해 개발된 도면 관리 파트너(2024)는 본 직무로 분류한다.,"· 건축제도기능사, 건축제도사, 건축캐드원, 건축도면 관리 파트너, 도면 관리 파트너",Y,"·  캐드프로그램을 활용할 수 있으면 취업에 용이하다
·  설계자 지시 하에 캐드를 사용해 수정, 리터치 업무에서 장애인 구인이 발생하기도 한다.
·  한국장애인고용공단 산하 직업능력개발원에서 관련 훈련을 운영하기도 한다."
15910200,5,토목 제도사(캐드원),2294,"·  교량, 댐, 터널, 철도, 도로, 산업용 건축물, 폐수처리, 홍수 조절시설 및 기타 토목건설용 시공도와 상세설계서를 작성하고, 대규모 철골조 및 보강콘크리트 구조물의 건설용 시공도를 작성하는 업무를 수행한다.",,"· 구조물제도사, 토목공학제도사, 토목제도기능사, 토목제도사, 토목캐드원",,"·  캐드프로그램을 활용할 수 있으면 취업에 용이하다
·  설계자 지시 하에 캐드를 사용해 수정, 리터치 업무에서 장애인 구인이 발생하기도 한다.
·  한국장애인고용공단 산하 직업능력개발원에서 관련 훈련을 운영하기도 한다."
15910300,5,기계·금속 제도사(캐드원),2295,"·  기계, 기관, 차량, 비행기, 선박, 연계장치 등의 기계장치 및 관련 장비의 제조용 시공도와 상세 설계서를 작성한다.",,"· 금속캐드원, 금형캐드원, 기계공학제도사, 기계제도기능사, 기계제도사, 기계캐드원, 냉·난방장치제도사, 라이터캐드원, 오토캐드, 지그및공구제도사, 항공공학제도사, 해양기기제도사, AUTO CAD",,"·  캐드프로그램을 활용할 수 있으면 취업에 용이하다
·  설계자 지시 하에 캐드를 사용해 수정, 리터치 업무에서 장애인 구인이 발생하기도 한다.
·  한국장애인고용공단 산하 직업능력개발원에서 관련 훈련을 운영하기도 한다."
15910400,5,전기·전자 장비 제도사(캐드원),2296,"·  전기기계 및 기기, 전자장비 등 전기제품의 제조, 설치 또는 가선용 시공도와 상세 설계서를 작성하는 업무를 수행한다.",,"· 오알캐드원, 전기장비제도사, 전기전자제도기능사, 전기전자제도사, 전기전자캐드원, 전기제도사, 전기캐드원, 전자장비제도사, 전자제도사, 전자캐드원, OR캐드원",,"·  캐드프로그램을 활용할 수 있으면 취업에 용이하다
·  설계자 지시 하에 캐드를 사용해 수정, 리터치 업무에서 장애인 구인이 발생하기도 한다.
·  한국장애인고용공단 산하 직업능력개발원에서 관련 훈련을 운영하기도 한다."
15910500,5,3D 프린팅 제도사,2297,"·  3D 프린터를 조작·  운영하여 고객의 요구에 따라 미니어처, 액세서리, 일상용품, 개인 편의제품, 기계부품, 시제품 등의 디지털도면을 모델링하고 출력한다.",,"· 3D모델링, 3D프린팅디자이너, 3D프린팅제도사",,·  3D 프린팅 설계프로그램을 활용할 수 있으면 취업이 용이하다.
15910600,5,기타 제도사(캐드원),2298,"·  상기 분류되지 않은 기타 제도사를 본 직무로 분류한다. 다만, 아래의 세세세분류에 포함되지 않는 직무는 본 직무로 분류한다.",,"· 기술도해사, 지도제도기능사, 지도캐드원",,"·  캐드프로그램을 활용할 수 있으면 취업에 용이하다
·  설계자 지시 하에 캐드를 사용해 수정, 리터치 업무에서 장애인 구인이 발생하기도 한다.
·  한국장애인고용공단 산하 직업능력개발원에서 관련 훈련을 운영하기도 한다."
15910601,5,건물도면 제작자,2299,·  건물 감정평가 시 필요한 건물 도면이 없을 때 건물의 사진 및 스케치를 참조하여 건물 도면을 그리는 업무를 수행한다.,·  한국장애인고용공단의 직무개발사업(현장 중심 직무개발사업)을 통해 개발된 건물도면 제작자(2024)는 본 직무로 분류한다.,· 플로어 플래너,Y,
15990000,5,"기타 공학 관련 기술자 및 시험원(인쇄, 목재 등)",2300,"·  공학기술자 및 시험원으로서 유사한 직무를 수행하지만 상기 세세세분류 직무들 어디에도 포함되지 않는 직업이 여기에 포함된다. 다만, 아래의 세세세분류에 포함되지 않는 직무는 본 직무로 분류한다.",,"· 목재수분시험원, 종이제품시험원",,
15990001,5,기타 공학 관련 시험(연구)보조원,2301,"·  건설, 기계, 전기전자, 화학, 환경, 금속 등 공학분야의 기술자나 연구원, 시험원 등의 지휘, 감독 하에 시험이나 연구를 보조하는 업무를 수행한다. 필요할 경우 표본이나 시료를 재취하기도 한다.","·  연구를 직접 수행할 경우 연구원으로, 연구원의 지휘하에 시험을 통해 데이터를 추출하고 분석하는 업무를 수행할 경우 시험원으로, 연구원과 시험원의 지시하에 간단한 연구나 시험을 지원할 경우 연구보조원으로 분류한다.
·  ‘12120001 자연과학 시험(연구)보조원’, ‘12220001 생명과학 시험(연구)보조원’, ‘12230001 농림어업 시험(연구)보조원’ 등은 각각 별도로 분류한다.","· 건설공학시험(연구)보조원, 기계공학시험(연구)보조원, 금속공학시험(연구)보조원, 전기공학시험(연구)보조원, 전자공학시험(연구)보조원, 화학공학시험(연구)보조원, 환경공학시험(연구)보조원, 섬유공학시험(연구)보조원, 식품공학시험(연구)보조원",,"·  연구소 등에서 연구원과 시험원의 지시를 받아 간단한 연구지원 업무, 표본이나 시료 채취 등을 수행하는 직무에서 장애인 채용이 발생하기도 한다."
21110000,5,대학 교수,2302,"·  대학에서 예술학, 인문과학, 사회과학, 자연과학, 생명과학, 정보통신 및 공학 등의 분야에서 전공분야에 대해 학생들에게 강의를 하고 관련 연구를 한다.","·  대학 교수는 전임강사 이상인 경우에만 해당하므로 직무를 확인하여 ‘대학 강사(초빙,겸임,BK,강의전담 교수 등 비전임교원 포함)‘와 구분하도록 한다. 또한 (산업체)겸임교수인 경우 해당 산업체에서 맡고 있는 직무에 따라 분류해야 하며 교수로 분류해서는 안 된다
·  대학교의 총장이나 (전문)대학의 학장 보직을 맡아 강의를 하지 않는 경우에는 ‘01320000 교육 관리자(부서장)‘으로 분류한다.","· 건축학교수, 경영학교수, 공학교수, 교육학교수, 농림학교수, 법학교수, 보건학교수, 복지학교수, 사회과학교수, 생명과학교수, 수의학교수, 어문학교수, 예체능교수, 의학교수, 인문학교수, 자연과학교수, 정보통신공학교수, 체육학교수",,
